"No.","Time","Source","Destination","Protocol","Length","Info"
"42","16.657532700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","111","Standard query 0xcd96 A settings-win.data.microsoft.com"
"43","16.657598600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","111","Standard query 0x7e39 AAAA settings-win.data.microsoft.com"
"44","16.669883100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","249","Standard query response 0xcd96 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-eus2-2-tagged.eastus2.cloudapp.azure.com A 40.84.97.4"
"45","16.671644900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","293","Standard query response 0x7e39 AAAA settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-eus2-2-tagged.eastus2.cloudapp.azure.com SOA ns1-06.azure-dns.com"
"136","22.123150700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","111","Standard query 0xf451 AAAA settings-win.data.microsoft.com"
"137","22.135699100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","293","Standard query response 0xf451 AAAA settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-eus2-2-tagged.eastus2.cloudapp.azure.com SOA ns1-06.azure-dns.com"
"182","29.024760800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x06f4 HTTPS config.edge.skype.com"
"183","29.025178300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0xbf5f AAAA config.edge.skype.com"
"184","29.025394700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x8961 A config.edge.skype.com"
"185","29.036390600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0xbf5f AAAA config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net AAAA 2620:1ec:50::17"
"186","29.037739500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","305","Standard query response 0x06f4 HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net SOA ns1.ln-msedge.net"
"187","29.042428200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","264","Standard query response 0x8961 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net A 150.171.22.17"
